object,image_path,dino_score,clip_t_score,text_cond,reference_path
object-3,results_blip/object-3/14.jpg,70.05128479003906,17.395771026611328,in the jungle,ml2025-hw10/data/object-3/0.jpg
object-4,results_blip/object-4/0.jpg,25.07583999633789,23.816619873046875,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/1.jpg,30.738330841064453,25.31795883178711,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/2.jpg,18.141319274902344,25.511152267456055,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/3.jpg,26.17698097229004,25.02886390686035,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/4.jpg,35.12155532836914,18.929569244384766,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/5.jpg,18.422618865966797,25.53762435913086,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/6.jpg,30.782943725585938,25.32338523864746,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/7.jpg,7.984647750854492,26.44593048095703,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/8.jpg,26.406272888183594,22.93461036682129,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/9.jpg,25.132564544677734,25.18143081665039,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/10.jpg,35.08556365966797,25.567710876464844,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/11.jpg,23.752197265625,25.03054428100586,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/12.jpg,48.694557189941406,25.380950927734375,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/13.jpg,46.31807327270508,22.76104736328125,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-4,results_blip/object-4/14.jpg,44.46420669555664,24.8574275970459,with sunglasses,ml2025-hw10/data/object-4/0.jpg
object-5,results_blip/object-5/0.jpg,20.051677703857422,23.945127487182617,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/1.jpg,41.33498001098633,27.872854232788086,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/2.jpg,33.1624755859375,21.132431030273438,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/3.jpg,34.368629455566406,20.551166534423828,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/4.jpg,43.288414001464844,26.857402801513672,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/5.jpg,30.770544052124023,24.22080421447754,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/6.jpg,38.58784103393555,22.702743530273438,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/7.jpg,27.909351348876953,24.082605361938477,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/8.jpg,18.8145694732666,22.354726791381836,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/9.jpg,23.827966690063477,24.506362915039062,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/10.jpg,24.94904899597168,23.50663185119629,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/11.jpg,48.53791427612305,25.080970764160156,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/12.jpg,30.572134017944336,25.16364097595215,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/13.jpg,45.87278366088867,24.58108139038086,in the snow,ml2025-hw10/data/object-5/0.jpg
object-5,results_blip/object-5/14.jpg,25.69788360595703,22.86141586303711,in the snow,ml2025-hw10/data/object-5/0.jpg
object-6,results_blip/object-6/0.jpg,36.039249420166016,25.99106216430664,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/1.jpg,43.113494873046875,21.65745735168457,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/2.jpg,26.878284454345703,23.938154220581055,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/3.jpg,34.50959014892578,21.738082885742188,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/4.jpg,32.14683532714844,26.40462303161621,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/5.jpg,36.18181228637695,25.305768966674805,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/6.jpg,36.28019714355469,24.931222915649414,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/7.jpg,17.54598045349121,23.912681579589844,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/8.jpg,25.707828521728516,24.085784912109375,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/9.jpg,51.98590850830078,19.493131637573242,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/10.jpg,37.75971603393555,23.721473693847656,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/11.jpg,49.58443069458008,20.718372344970703,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/12.jpg,34.625972747802734,20.74785804748535,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/13.jpg,32.474727630615234,20.483007431030273,on a plate,ml2025-hw10/data/object-6/0.jpg
object-6,results_blip/object-6/14.jpg,30.517196655273438,21.204547882080078,on a plate,ml2025-hw10/data/object-6/0.jpg
