object,num_images,mean_dino_score,std_dino_score,min_dino_score,max_dino_score,mean_clip_t_score,std_clip_t_score,min_clip_t_score,max_clip_t_score,dino_threshold,dino_pass,clip_t_threshold,clip_t_pass,overall_pass,text_cond,reference_path,generated_dir
object-1,15,71.04106903076172,6.370537281036377,60.50349426269531,79.10152435302734,24.50153923034668,0.71697998046875,23.447317123413086,25.62045669555664,68.0,True,18.0,True,True,on the grass,ml2025-hw10/data/object-1/0.jpg,results_blip/object-1
object-2,15,19.30894660949707,26.693767547607422,-0.24183037877082825,77.7451171875,22.29851722717285,2.6526906490325928,17.51866340637207,26.371923446655273,60.0,False,17.0,True,False,on a cobblestone street,ml2025-hw10/data/object-2/0.jpg,results_blip/object-2
object-3,15,74.8614273071289,3.934504270553589,70.05128479003906,82.77818298339844,18.2819766998291,0.9750403761863708,16.49051284790039,19.927499771118164,61.0,True,18.0,True,True,in the jungle,ml2025-hw10/data/object-3/0.jpg,results_blip/object-3
object-4,15,29.486513137817383,10.795431137084961,7.984647750854492,48.694557189941406,24.50832176208496,1.7752405405044556,18.929569244384766,26.44593048095703,68.0,False,19.0,True,False,with sunglasses,ml2025-hw10/data/object-4/0.jpg,results_blip/object-4
object-5,15,32.516414642333984,9.018516540527344,18.8145694732666,48.53791427612305,23.96133041381836,1.8683953285217285,20.551166534423828,27.872854232788086,60.0,False,19.0,True,False,in the snow,ml2025-hw10/data/object-5/0.jpg,results_blip/object-5
object-6,15,35.02341842651367,8.448755264282227,17.54598045349121,51.98590850830078,22.955547332763672,2.136927604675293,19.493131637573242,26.40462303161621,57.0,False,17.0,True,False,on a plate,ml2025-hw10/data/object-6/0.jpg,results_blip/object-6
